Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Others,Pooja Room,Servant Room,Store Room,Study Room,Floor Num,Total Floor,Facing_North,Facing_North-East,Facing_North-West,Facing_South,Facing_South-East,Facing_South-West,Facing_Unknown,Facing_West,Property Age,Overlooking_Club,Overlooking_Lake facing,Overlooking_Main Road,Overlooking_Others,Overlooking_Park,Overlooking_Pool,NearbyPlace_Business,NearbyPlace_Education,NearbyPlace_Financial,NearbyPlace_Healthcare,NearbyPlace_Leisure,NearbyPlace_Religious,NearbyPlace_Residentail,NearbyPlace_Shopping,NearbyPlace_Transport,Property Ownership,Furnishing,Power Backup,Covered_Parking,Open_Parking,Total Parking,Rating,Sector_encoded
Sector 102,2.65,1715,3,3,3,0,0,0,0,0,2,26,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,3.9,2.3
Sector 33,3.05,1769,3,3,3,0,0,1,0,1,4,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,1,3,3.9,2
Sector 57,2,2227,3,3,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,3.66,2.8
Sector 33,2.38,1389,3,3,3,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,1,3,3.9,2
Sector 33,2.23,1500,3,3,4,1,0,0,0,0,7,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.9,2
Sector 33,1.75,889,2,2,3,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.7,2
Sector 33,3.65,2187,4,4,3,0,0,1,0,0,4,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
Sector 33,1.45,789,2,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.7,2
Sector 102,2.55,1700,3,3,4,0,0,0,0,0,22,26,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,3.9,2.3
Sector 49,2.6,2062,4,4,4,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,2,1,0,1,4,3.2
Sector 33,2.65,1489,3,3,3,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,1,2,3.9,2
Sector 70,1.85,1204,2,2,3,0,0,0,0,1,11,18,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,2,2,0,2,3.5,2.2
Sector 33,1.4,858,2,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,1,0,1,3.7,2
Sector 65,2.85,1620,4,4,3,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,4.1,3.2
Sector 33,2.95,1789,3,3,3,0,0,1,0,1,8,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
