property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
flat,41,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,3.4
flat,102,10000.0,4,4,3+,11.0,Relatively New,4630.0,0,0,1,60,4.55
flat,49,7818.0,3,3,2,2.0,Old Property,2444.0,0,0,1,144,1.72
flat,61,13497.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,49,2.2
flat,82,5590.0,2,2,3+,2.0,Relatively New,1026.0,0,0,0,110,0.63
flat,37,7035.0,3,3,3+,4.0,Relatively New,1890.0,1,0,0,149,1.4
flat,70,7001.0,3,3,2,1.0,Under Construction,1457.0,0,0,0,46,1.13
house,104,21196.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,64,1.95
flat,70,8974.0,3,5,0,0.0,Relatively New,1950.0,0,0,0,47,1.75
flat,103,8522.0,4,4,3,11.0,Relatively New,2602.0,1,1,0,38,2.45
house,82,21759.0,3,3,3+,3.0,New Property,2160.0,1,0,0,33,4.7
house,28,8102.0,2,2,0,2.0,Old Property,864.0,0,0,0,7,0.7
flat,89,8701.0,3,3,2,1.0,New Property,1179.0,0,0,0,45,1.3
house,109,12037.0,4,4,3+,1.0,New Property,5400.0,1,0,1,160,6.5
flat,37,9167.0,2,2,3,3.0,New Property,543.0,0,0,0,53,0.55
flat,36,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,144,0.9
flat,107,7497.0,2,2,3,0.0,Relatively New,1281.0,0,0,0,29,1.15
flat,66,16471.0,3,4,3,6.0,Relatively New,2150.0,1,0,0,68,3.5
flat,90,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,126,1.78
flat,43,13514.0,3,2,3,5.0,Old Property,1674.0,0,0,0,0,2.5
house,38,21242.0,6,6,3+,3.0,Moderately Old,1836.0,1,0,0,32,3.9
house,3,6707.0,2,2,1,2.0,Moderately Old,810.0,0,0,0,0,0.55
flat,37,7622.0,4,4,3,11.0,Relatively New,2091.0,0,0,1,149,1.67
flat,90,6792.0,2,2,3,9.0,Relatively New,1050.0,0,0,0,67,0.65
flat,65,16960.0,3,4,3,3.0,Relatively New,2803.0,1,0,0,49,5.5
flat,90,8999.0,4,4,3+,5.0,Relatively New,2005.0,0,0,1,49,2.05
house,51,2778.0,6,3,3+,3.0,Relatively New,900.0,0,0,0,54,2.25
house,33,26667.0,5,6,3,3.0,New Property,4125.0,1,0,0,58,11.0
flat,102,10307.0,2,2,3,0.0,Relatively New,1238.0,0,0,0,49,1.41
flat,79,9091.0,3,3,0,12.0,Relatively New,1815.0,0,0,0,0,1.65
flat,83,8167.0,2,2,3,5.0,Relatively New,1300.0,0,0,1,96,0.98
flat,14,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,2.2
flat,86,7776.0,3,3,1,15.0,Relatively New,1550.0,0,0,0,159,1.5
house,103,13501.0,4,4,3+,2.0,Relatively New,3222.0,1,1,1,138,4.35
flat,69,8286.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,86,1.3
flat,71,6104.0,3,4,3,3.0,Moderately Old,1631.0,1,0,0,26,1.1
flat,82,10338.0,3,3,3+,5.0,Relatively New,1668.0,0,0,2,167,1.59
flat,88,9041.0,3,3,3,12.0,New Property,1652.0,0,0,0,60,1.65
flat,81,10842.0,3,3,3+,14.0,Relatively New,1750.0,1,0,2,49,2.28
flat,90,6768.0,4,4,3+,10.0,Relatively New,2139.0,1,0,0,88,1.6
flat,90,6926.0,3,3,3+,29.0,Relatively New,1581.0,0,0,0,95,1.21
flat,90,10417.0,3,3,3,18.0,Moderately Old,1437.0,1,0,0,100,1.25
flat,2,6931.0,2,2,3,11.0,Moderately Old,1281.0,0,0,0,83,0.98
flat,108,6078.0,2,3,3,10.0,Relatively New,1161.0,0,0,0,81,0.93
flat,61,14461.0,3,3,2,3.0,New Property,1402.0,0,0,0,61,2.24
flat,56,7750.0,3,3,3,5.0,Old Property,1810.0,1,0,1,52,1.55
flat,79,6023.0,2,2,3+,17.0,Relatively New,1172.0,0,0,0,24,0.78
flat,113,12223.0,3,3,2,8.0,Under Construction,1429.0,0,0,0,71,1.93
flat,104,8814.0,4,4,3+,16.0,Relatively New,3064.0,1,0,1,150,2.6
house,112,10260.0,4,4,3+,2.0,Relatively New,6350.0,1,0,1,62,7.46
flat,22,19200.0,4,6,3+,10.0,New Property,2778.0,1,0,2,49,4.8
flat,108,9238.0,2,2,3,10.0,Relatively New,1167.0,1,0,0,165,0.97
flat,102,10601.0,2,2,2,12.0,Relatively New,828.0,0,0,0,100,0.97
flat,92,8586.0,3,4,2,1.0,Under Construction,1475.0,0,0,0,63,1.7
house,26,27778.0,3,3,3,2.0,Moderately Old,2430.0,0,0,0,27,6.75
flat,90,6218.0,3,3,3+,8.0,Moderately Old,2144.0,1,0,0,59,1.2
flat,70,8462.0,3,5,3,6.0,Relatively New,1527.0,1,0,0,167,1.65
house,13,11538.0,2,7,3,4.0,Moderately Old,1300.0,0,0,0,0,1.5
flat,84,5111.0,2,2,3+,8.0,Relatively New,1222.0,0,0,0,59,0.69
flat,85,7151.0,2,2,3,15.0,Relatively New,1660.0,0,0,0,49,1.2
flat,92,4688.0,3,4,3,2.0,Moderately Old,1778.0,0,0,0,113,0.75
flat,49,8622.0,3,3,3,3.0,Moderately Old,2178.0,0,0,0,136,1.69
flat,67,14098.0,4,4,3+,0.0,Relatively New,3160.0,1,0,1,42,4.5
house,33,17820.0,5,5,3+,3.0,New Property,4770.0,1,1,1,145,8.5
flat,107,6645.0,2,2,1,7.0,Relatively New,577.0,0,0,1,55,0.4
flat,1,3648.0,4,4,3,7.0,Moderately Old,2233.0,0,0,0,0,0.9
flat,52,7692.0,5,7,3+,1.0,Moderately Old,5778.0,1,0,0,77,5.0
flat,76,11364.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,61,1.9
flat,84,6465.0,3,3,3,8.0,Relatively New,1650.0,0,0,1,158,1.24
flat,33,21538.0,3,3,3,2.0,Under Construction,588.0,0,0,0,54,1.4
flat,95,6319.0,2,2,2,11.0,New Property,809.0,0,0,0,82,0.46
flat,2,12212.0,2,2,2,4.0,Under Construction,1130.0,0,0,1,133,1.38
flat,102,9372.0,3,4,3+,15.0,Moderately Old,1757.0,1,0,0,125,1.82
flat,35,6723.0,2,2,3,12.0,New Property,661.0,0,0,0,36,0.4
flat,1,3323.0,3,3,3+,3.0,Moderately Old,1900.0,1,0,0,81,0.86
flat,70,8462.0,3,3,2,6.0,Relatively New,2167.0,0,0,0,72,1.65
flat,59,16499.0,3,3,3,3.0,Under Construction,2550.0,0,0,0,31,3.78
flat,102,8606.0,3,3,3,7.0,Relatively New,1315.0,1,0,0,128,1.42
flat,109,8000.0,3,3,3+,8.0,Relatively New,1466.0,0,1,0,119,1.4
flat,95,2700.0,2,2,0,1.0,New Property,758.0,0,0,0,0,0.27
flat,86,8485.0,2,2,1,2.0,New Property,557.0,1,0,0,84,0.42
flat,99,4745.0,2,2,1,6.0,Relatively New,611.0,0,0,0,79,0.26
flat,95,5839.0,3,2,2,6.0,New Property,761.0,0,0,0,0,0.4
flat,56,9535.0,4,4,3,7.0,Relatively New,2000.0,1,0,1,49,2.05
flat,92,4971.0,4,4,2,2.0,Moderately Old,1584.0,0,1,2,115,0.87
flat,86,8707.0,3,4,3,8.0,Relatively New,1715.0,1,0,0,124,1.65
house,12,8235.0,3,3,0,2.0,New Property,567.0,0,0,0,0,0.42
flat,65,13924.0,4,4,3,3.0,Relatively New,1975.0,1,0,1,113,2.75
flat,9,4889.0,3,3,2,2.0,Old Property,1438.0,0,0,1,31,0.88
flat,91,7407.0,3,3,3+,7.0,Relatively New,1700.0,0,0,0,76,1.4
flat,65,17544.0,3,3,3,9.0,Moderately Old,3043.0,0,0,2,21,5.9
flat,81,8641.0,2,2,3,2.0,Relatively New,955.0,0,0,0,53,0.82
flat,81,12222.0,4,5,3+,4.0,Relatively New,3070.0,1,0,1,174,3.3
flat,92,7812.0,3,3,1,12.0,New Property,711.0,0,0,2,95,0.5
flat,69,9000.0,4,5,3+,4.0,Relatively New,2200.0,1,0,0,165,1.8
flat,58,16934.0,4,5,3,23.0,Relatively New,3182.0,1,0,1,49,4.85
flat,77,8840.0,3,3,3,1.0,New Property,1600.0,1,0,1,49,1.79
flat,99,5658.0,3,5,3,5.0,Relatively New,1790.0,1,0,0,49,1.13
flat,81,10926.0,3,4,3+,15.0,Relatively New,1900.0,1,0,2,103,2.29
flat,33,6599.0,1,1,1,6.0,New Property,438.0,0,0,0,26,0.26
flat,95,5179.0,2,2,2,14.0,Relatively New,507.0,0,0,0,50,0.29
house,1,16003.0,4,3,2,3.0,Moderately Old,1284.0,0,0,0,0,1.85
flat,2,6709.0,2,2,3,10.0,Old Property,1573.0,0,0,1,88,0.95
flat,109,6617.0,3,3,1,4.0,New Property,2519.0,1,0,0,37,1.5
flat,110,9850.0,4,4,3,17.0,New Property,3350.0,0,0,0,59,4.0
